"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"hsa01524","Platinum drug resistance",69,0.439256854087925,1.04152245391566,0.374736842105263,0.738827751196172,0.617733770995697,1140,"tags=12%, list=6%, signal=11%","2944/5293/7157/208/2946/1026/836/2949",0.0982123351217438
"hsa05110","Vibrio cholerae infection",47,0.467907324556873,1.03947548901532,0.392405063291139,0.748662332431966,0.625956462879042,1189,"tags=15%, list=7%, signal=14%","23545/5335/245972/10312/5578/5566/60",0.0956031492204301
"hsa04622","RIG-I-like receptor signaling pathway",67,-0.418250596411347,-1.03897839781057,0.382470119521912,0.743769239539391,0.62186534865185,4464,"tags=33%, list=25%, signal=25%","56832/5970/3439/7187/3448/8717/5600/843/6885/3446/3445/9140/4790/3593/3456/3449/3576/3442/7186/1540/54941/3452",0.0937465422491719
"hsa00830","Retinol metabolism",49,-0.439280631555151,-1.03885521672179,0.425925925925926,0.762637362637363,0.63764098351945,2578,"tags=24%, list=14%, signal=21%","125/157506/195814/7363/8854/50700/79799/145226/1562/8608/112724/1544",0.0835990603684159
"hsa00430","Taurine and hypotaurine metabolism",16,-0.535342828978709,-1.03661502781695,0.434859154929577,0.765970186601845,0.640427557131921,43,"tags=6%, list=0%, signal=6%","570",0.0797705918628453
"hsa00620","Pyruvate metabolism",47,-0.446916365580091,-1.03486167700612,0.399621212121212,0.757347221021696,0.633217896914953,3312,"tags=34%, list=19%, signal=28%","3029/128/501/197257/3939/9380/125/2271/84532/223/5162/1738/4190/224/1737/51011",0.0883594442500905
"hsa00310","Lysine degradation",58,0.443408090678962,1.02630696138985,0.372043010752688,0.738827751196172,0.617733770995697,306,"tags=9%, list=2%, signal=9%","23127/23067/8424/5352/4297",0.0999276973731092
"hsa04517","IgSF CAM signaling",282,-0.347419786777066,-1.02497688575283,0.380129589632829,0.743769239539391,0.62186534865185,1976,"tags=15%, list=11%, signal=14%","51735/3690/351/114798/10298/117178/79861/3556/203068/10381/3791/340156/5588/23136/8655/941/91807/9223/10382/347733/7082/8976/10332/7277/5376/5062/10096/50848/3736/10383/140735/5962/7280/22829/57863/3689/57731/7225/51807/7846/10458/57522/8500",0.0988903007520636
"hsa04612","Antigen processing and presentation",69,0.431072528552398,1.0221165898157,0.406315789473684,0.760227512112913,0.635626107860552,1706,"tags=14%, list=10%, signal=13%","972/3135/1520/3811/1385/3119/3112/1508/55080/3126",0.0934449219410994
"hsa00534","Glycosaminoglycan biosynthesis - heparan sulfate / heparin",24,0.503375016420762,1.01847667479112,0.415525114155251,0.762637362637363,0.63764098351945,365,"tags=8%, list=2%, signal=8%","126792/8509",0.096887770327544
"hsa04080","Neuroactive ligand-receptor interaction",349,-0.332063462081511,-1.01442013390539,0.407563025210084,0.760227512112913,0.635626107860552,2242,"tags=16%, list=13%, signal=14%","55584/114131/2743/2563/1143/6870/1140/2846/4985/165829/10911/3953/6866/155/6869/148/5031/7200/1395/113091/134864/552/4887/5029/134/3350/130574/4543/1813/6865/2912/2150/886/80763/27346/399967/9170/117/1133/3354/10874/2797/5367/160065/8698/6753/10800/1442/2149/2740/2900/51083/51738/57105/57053/1815",0.0931454575337804
"hsa04217","Necroptosis",123,0.400300764059095,1.01337758190852,0.401590457256461,0.757347221021696,0.633217896914953,1902,"tags=17%, list=11%, signal=15%","7132/3455/2747/3460/7188/5321/90865/55072/9131/2495/8795/2512/255189/818/834/1536/2752/331/7297/3459/6778",0.0908241419007155
"hsa03010","Ribosome",149,0.378921375412545,1.01024863020059,0.383673469387755,0.743769239539391,0.62186534865185,2982,"tags=22%, list=17%, signal=19%","6157/6218/64969/51069/6203/6223/6136/90480/6209/6160/6222/25873/6191/6141/6227/6173/64975/64981/6123/6164/11224/51187/6217/29093/6161/116541/6206/6167/28977/6171/6233/124995/6201",0.0949751525905595
"hsa04350","TGF-beta signaling pathway",104,0.394722618262808,1.0068340704665,0.389496717724289,0.748662332431966,0.625956462879042,998,"tags=11%, list=6%, signal=10%","658/3626/4092/57817/7037/3397/2033/655/25942/1634/3399",0.0982123351217438
"hsa04924","Renin secretion",65,0.435167251571236,1.00660174762235,0.427104722792608,0.762637362637363,0.63764098351945,10,"tags=2%, list=0%, signal=2%","358",0.0891647117820678
